date,sampling_session,population,water_access,altitude (m),delta_abundance (%),Tmin,Tmax ,individual_ID,hour,sex,age_class,snout_vent_length (mm),body_mass (g),parturition_date,reproductive_timing,litter_size,litter_mass (g),corticosterone (ng/ml)
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,159,14:10,F,adult,69,6.78,7/10/2015,-20,9,1.591,42.75
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,160,14:15,F,adult,55,2.978,NA,NA,NA,NA,17.12
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,161,14:30,F,adult,62,5.4,7/8/2015,-18,7,1.332,28.3
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,162,14:30,F,adult,55,2.959,7/16/2015,-26,1,0.144,38.93
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL12,14:30,M,yearling,44,1.65,NA,NA,NA,NA,26.1
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL13,14:30,F,yearling,42,1.65,NA,NA,NA,NA,5.55
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,163,14:35,F,adult,62,4.245,7/19/2015,-29,5,0.852,27.39
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,164,14:50,F,adult,58,3.598,7/14/2015,-24,4,0.529,35.23
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL14,14:55,M,yearling,43,1.6,NA,NA,NA,NA,26.43
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,165,15:30,F,adult,58,2.868,7/16/2015,-26,2,0.29,29.93
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,166,15:37,F,adult,62,4.929,7/12/2015,-22,8,1.245,48.14
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,168,14:40,F,adult,61,4.855,NA,NA,NA,NA,29.2
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL16,14:43,F,yearling,40,1.55,NA,NA,NA,NA,2.88
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL17,14:45,M,yearling,43,2.05,NA,NA,NA,NA,30.74
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,169,14:55,F,adult,61,5.346,7/12/2015,-22,7,1.152,33.34
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL18,15:00,F,yearling,46,2.1,NA,NA,NA,NA,16.39
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,170,15:10,F,adult,62,4.631,7/11/2015,-21,7,1.221,41.86
